X,Y,Z,Phi
290.971,-43.9578,82.6278,0.575903
291.073,-45.9571,81.9989,0.58198
291.197,-47.7895,81.3629,0.588271
291.345,-49.4612,80.72,0.594761
291.517,-50.9779,80.0705,0.601433
291.716,-52.3458,79.4148,0.608271
291.94,-53.5707,78.7532,0.615261
292.19,-54.6585,78.0859,0.622386
292.466,-55.6151,77.4134,0.62963
292.767,-56.4463,76.736,0.636977
293.092,-57.1579,76.0539,0.644412
293.442,-57.7558,75.3675,0.651918
293.814,-58.2457,74.6771,0.65948
294.207,-58.6334,73.9831,0.667082
294.621,-58.9248,73.2857,0.674709
295.052,-59.1257,72.5853,0.682344
295.501,-59.2419,71.8822,0.689971
295.965,-59.2794,71.1768,0.697575
296.443,-59.2438,70.4692,0.70514
296.932,-59.1414,69.76,0.71265
297.432,-58.9778,69.0493,0.720089
297.939,-58.7593,68.3376,0.727442
298.453,-58.4917,67.6251,0.734692
298.971,-58.1812,66.9122,0.741823
299.493,-57.834,66.1991,0.748821
300.015,-57.4561,65.4863,0.755668
300.536,-57.0539,64.774,0.76235
301.056,-56.6335,64.0625,0.76885
301.571,-56.2014,63.3522,0.775153
302.08,-55.7638,62.6434,0.781242
302.582,-55.3273,61.9364,0.787102
303.076,-54.8982,61.2316,0.792717
303.56,-54.4831,60.5292,0.798072
304.031,-54.0885,59.8296,0.803149
304.49,-53.721,59.1331,0.807935
304.935,-53.3872,58.44,0.812411
305.364,-53.0938,57.7507,0.816564
305.776,-52.8475,57.0654,0.820377
306.17,-52.6549,56.3846,0.823834
306.545,-52.5229,55.7084,0.826919
306.899,-52.4581,55.0373,0.829617
307.23,-52.4674,54.3716,0.831912
307.539,-52.5574,53.7115,0.833787
307.822,-52.7349,53.0575,0.835227
308.079,-53.0068,52.4098,0.836217
308.308,-53.3798,51.7687,0.83674
308.507,-53.8605,51.1346,0.83678
308.675,-54.4558,50.5078,0.836322
308.809,-55.1723,49.8886,0.83535
308.907,-56.0166,49.2774,0.833848
308.967,-56.9952,48.6744,0.8318
308.985,-58.1149,48.08,0.82919
308.96,-59.3818,47.4945,0.826003
308.887,-60.8025,46.9182,0.822223
308.762,-62.3832,46.3515,0.817833
308.583,-64.1299,45.7947,0.812819
308.344,-66.0486,45.248,0.807164
308.041,-68.1453,44.7119,0.800852
307.668,-70.4254,44.1866,0.793867
307.219,-72.8945,43.6725,0.786194
306.688,-75.5577,43.1699,0.777817
306.068,-78.4198,42.679,0.76872
305.351,-81.4855,42.2003,0.758887
304.529,-84.759,41.7341,0.748303
303.593,-88.2441,41.2806,0.736951
302.534,-91.9441,40.8402,0.724816
301.34,-95.862,40.4132,0.711881
300,-100,40,0.698132
300,-100,40,0.698132
298.484,-104.358,39.5969,0.683348
296.763,-108.924,39.2,0.667344
294.831,-113.684,38.8092,0.650157
292.683,-118.622,38.4247,0.631822
290.311,-123.722,38.0463,0.612374
287.711,-128.967,37.6739,0.591851
284.876,-134.341,37.3077,0.570286
281.801,-139.825,36.9475,0.547717
278.482,-145.401,36.5933,0.524179
274.915,-151.052,36.2451,0.499708
271.096,-156.758,35.9029,0.47434
267.024,-162.501,35.5666,0.448111
262.697,-168.261,35.2361,0.421055
258.114,-174.019,34.9116,0.39321
253.275,-179.756,34.5929,0.364611
248.182,-185.452,34.28,0.335293
242.838,-191.089,33.9729,0.305293
237.246,-196.647,33.6715,0.274647
231.41,-202.107,33.3759,0.24339
225.337,-207.451,33.0859,0.211557
219.033,-212.662,32.8017,0.179186
212.507,-217.721,32.523,0.146311
205.768,-222.613,32.25,0.112969
198.826,-227.32,31.9825,0.0791944
191.693,-231.829,31.7206,0.0450243
184.381,-236.124,31.4642,0.0104941
176.904,-240.193,31.2133,-0.0243604
169.275,-244.024,30.9678,-0.0595034
161.509,-247.605,30.7278,-0.0948992
153.623,-250.926,30.4932,-0.130512
145.633,-253.98,30.2639,-0.166305
137.555,-256.759,30.04,-0.202244
129.407,-259.257,29.8214,-0.238293
121.208,-261.47,29.6081,-0.274415
112.974,-263.395,29.4,-0.310575
104.723,-265.03,29.1972,-0.346737
96.4749,-266.375,28.9995,-0.382865
88.2466,-267.431,28.8071,-0.418923
80.056,-268.201,28.6197,-0.454876
71.9209,-268.689,28.4375,-0.490688
63.8582,-268.9,28.2603,-0.526323
55.8848,-268.841,28.0882,-0.561745
48.0166,-268.52,27.9212,-0.596919
40.2692,-267.946,27.7591,-0.631807
32.6571,-267.129,27.6019,-0.666376
25.1944,-266.081,27.4497,-0.700589
17.8939,-264.813,27.3024,-0.734409
10.7678,-263.338,27.16,-0.767802
3.82715,-261.672,27.0224,-0.800732
-2.91789,-259.827,26.8896,-0.833162
-9.45826,-257.82,26.7617,-0.865057
-15.7859,-255.665,26.6384,-0.896381
-21.8938,-253.38,26.5199,-0.927098
-27.776,-250.98,26.4061,-0.957173
-33.4275,-248.482,26.297,-0.98657
-38.8445,-245.903,26.1925,-1.01525
-44.0239,-243.261,26.0926,-1.04318
-48.9637,-240.571,25.9973,-1.07033
-53.6626,-237.851,25.9065,-1.09666
-58.1205,-235.117,25.8203,-1.12212
-62.3376,-232.386,25.7386,-1.1467
-66.3151,-229.674,25.6613,-1.17034
-70.0546,-226.998,25.5884,-1.19302
-73.5584,-224.372,25.52,-1.2147
-76.8292,-221.811,25.4559,-1.23534
-79.87,-219.331,25.3962,-1.25492
-82.6842,-216.945,25.3408,-1.27338
-85.2751,-214.667,25.2897,-1.2907
-87.6463,-212.511,25.2428,-1.30684
-89.8013,-210.489,25.2002,-1.32176
-91.7435,-208.613,25.1618,-1.33543
-93.476,-206.894,25.1275,-1.34782
-95.0016,-205.344,25.0974,-1.35888
-96.3226,-203.972,25.0714,-1.36858
-97.4408,-202.789,25.0494,-1.37689
-98.3574,-201.804,25.0316,-1.38377
-99.0726,-201.025,25.0177,-1.38918
-99.5859,-200.46,25.0079,-1.39309
-99.8959,-200.116,25.002,-1.39546
-100,-200,25,-1.39626
