Time,theta1_acc,theta2_acc,d3_acc,theta4_acc
2.24,-0.0393031,0.0538199,0,-0.124649
2.26,-0.0387825,0.0532612,0,-0.122998
2.28,-0.038262,0.0527025,0,-0.121347
2.3,-0.0377414,0.0521438,0,-0.119696
2.32,-0.0372208,0.0515852,0,-0.118045
2.34,-0.0367002,0.0510265,0,-0.116394
2.36,-0.0361797,0.0504678,0,-0.114743
2.38,-0.0356591,0.0499091,0,-0.113092
2.4,-0.0351385,0.0493504,0,-0.111441
2.42,-0.034618,0.0487917,0,-0.10979
2.44,-0.0340974,0.0482331,0,-0.108139
2.46,-0.0335768,0.0476744,0,-0.106488
2.48,-0.0330562,0.0471157,0,-0.104837
2.5,-0.0325357,0.046557,0,-0.103186
2.52,-0.0320151,0.0459983,0,-0.101535
2.54,-0.0314945,0.0454396,0,-0.0998843
2.56,-0.030974,0.0448809,0,-0.0982333
2.58,-0.0304534,0.0443223,0,-0.0965823
2.6,-0.0299328,0.0437636,0,-0.0949313
2.62,-0.0294122,0.0432049,0,-0.0932803
2.64,-0.0288917,0.0426462,0,-0.0916294
2.66,-0.0283711,0.0420875,0,-0.0899784
2.68,-0.0278505,0.0415288,0,-0.0883274
2.7,-0.02733,0.0409702,0,-0.0866764
2.72,-0.0268094,0.0404115,0,-0.0850254
2.74,-0.0262888,0.0398528,0,-0.0833745
2.76,-0.0257683,0.0392941,0,-0.0817235
2.78,-0.0252477,0.0387354,0,-0.0800725
2.8,-0.0247271,0.0381767,0,-0.0784215
2.82,-0.0242065,0.0376181,0,-0.0767705
2.84,-0.023686,0.0370594,0,-0.0751196
2.86,-0.0231654,0.0365007,0,-0.0734686
2.88,-0.0226448,0.035942,0,-0.0718176
2.9,-0.0221243,0.0353833,0,-0.0701666
2.92,-0.0216037,0.0348246,0,-0.0685157
2.94,-0.0210831,0.034266,0,-0.0668647
2.96,-0.0205625,0.0337073,0,-0.0652137
2.98,-0.020042,0.0331486,0,-0.0635627
3,-0.0195214,0.0325899,0,-0.0619117
3.02,-0.0190008,0.0320312,0,-0.0602608
3.04,-0.0184803,0.0314725,0,-0.0586098
3.06,-0.0179597,0.0309138,0,-0.0569588
3.08,-0.0174391,0.0303552,0,-0.0553078
3.1,-0.0169185,0.0297965,0,-0.0536568
3.12,-0.016398,0.0292378,0,-0.0520059
3.14,-0.0158774,0.0286791,0,-0.0503549
3.16,-0.0153568,0.0281204,0,-0.0487039
3.18,-0.0148363,0.0275617,0,-0.0470529
3.2,-0.0143157,0.0270031,0,-0.0454019
