Time,theta1_vel,theta2_vel,d3_vel,theta4_vel
2.32,-0.1564,0.194854,0,-0.49602
2.34,-0.157139,0.19588,0,-0.498365
2.36,-0.157868,0.196895,0,-0.500676
2.38,-0.158587,0.197899,0,-0.502954
2.4,-0.159295,0.198892,0,-0.5052
2.42,-0.159992,0.199873,0,-0.507412
2.44,-0.160679,0.200843,0,-0.509591
2.46,-0.161356,0.201802,0,-0.511738
2.48,-0.162022,0.20275,0,-0.513851
2.5,-0.162678,0.203687,0,-0.515931
2.52,-0.163324,0.204612,0,-0.517978
2.54,-0.163959,0.205527,0,-0.519993
2.56,-0.164584,0.20643,0,-0.521974
2.58,-0.165198,0.207322,0,-0.523922
2.6,-0.165802,0.208203,0,-0.525837
2.62,-0.166395,0.209073,0,-0.527719
2.64,-0.166978,0.209931,0,-0.529568
2.66,-0.167551,0.210778,0,-0.531384
2.68,-0.168113,0.211615,0,-0.533167
2.7,-0.168665,0.21244,0,-0.534917
2.72,-0.169206,0.213253,0,-0.536634
2.74,-0.169737,0.214056,0,-0.538318
2.76,-0.170258,0.214848,0,-0.539969
2.78,-0.170768,0.215628,0,-0.541587
2.8,-0.171268,0.216397,0,-0.543172
2.82,-0.171757,0.217155,0,-0.544724
2.84,-0.172236,0.217902,0,-0.546243
2.86,-0.172705,0.218637,0,-0.547729
2.88,-0.173163,0.219362,0,-0.549182
2.9,-0.17361,0.220075,0,-0.550602
2.92,-0.174048,0.220777,0,-0.551989
2.94,-0.174474,0.221468,0,-0.553342
2.96,-0.174891,0.222148,0,-0.554663
2.98,-0.175297,0.222816,0,-0.555951
3,-0.175693,0.223474,0,-0.557206
3.02,-0.176078,0.22412,0,-0.558427
3.04,-0.176453,0.224755,0,-0.559616
3.06,-0.176817,0.225379,0,-0.560772
3.08,-0.177171,0.225991,0,-0.561894
3.1,-0.177515,0.226593,0,-0.562984
3.12,-0.177848,0.227183,0,-0.564041
3.14,-0.178171,0.227762,0,-0.565064
3.16,-0.178483,0.22833,0,-0.566055
3.18,-0.178785,0.228887,0,-0.567012
3.2,-0.179076,0.229433,0,-0.567937
3.22,-0.179357,0.229967,0,-0.568829
3.24,-0.179628,0.230491,0,-0.569687
3.26,-0.179888,0.231003,0,-0.570512
3.28,-0.180138,0.231504,0,-0.571305
3.3,-0.180378,0.231994,0,-0.572064
3.32,-0.180607,0.232472,0,-0.572791
3.34,-0.180825,0.23294,0,-0.573484
3.36,-0.181034,0.233396,0,-0.574145
3.38,-0.181232,0.233841,0,-0.574772
3.4,-0.181419,0.234275,0,-0.575366
3.42,-0.181596,0.234698,0,-0.575928
3.44,-0.181762,0.235109,0,-0.576456
3.46,-0.181919,0.23551,0,-0.576951
3.48,-0.182064,0.235899,0,-0.577414
3.5,-0.1822,0.236277,0,-0.577843
3.52,-0.182325,0.236644,0,-0.578239
3.54,-0.182439,0.236999,0,-0.578602
3.56,-0.182543,0.237344,0,-0.578932
3.58,-0.182637,0.237677,0,-0.57923
3.6,-0.18272,0.237999,0,-0.579494
3.62,-0.182793,0.23831,0,-0.579725
3.64,-0.182856,0.23861,0,-0.579923
3.66,-0.182908,0.238899,0,-0.580088
3.68,-0.182949,0.239176,0,-0.58022
3.7,-0.182981,0.239443,0,-0.580319
3.72,-0.183001,0.239698,0,-0.580385
3.74,-0.183012,0.239942,0,-0.580418
3.76,-0.183012,0.240175,0,-0.580418
3.78,-0.183001,0.240396,0,-0.580385
3.8,-0.182981,0.240607,0,-0.580319
3.82,-0.182949,0.240806,0,-0.58022
3.84,-0.182908,0.240994,0,-0.580088
3.86,-0.182856,0.241171,0,-0.579923
3.88,-0.182793,0.241337,0,-0.579725
3.9,-0.18272,0.241491,0,-0.579494
3.92,-0.182637,0.241635,0,-0.57923
3.94,-0.182543,0.241767,0,-0.578932
3.96,-0.182439,0.241888,0,-0.578602
3.98,-0.182325,0.241998,0,-0.578239
4,-0.1822,0.242096,0,-0.577843
4.02,-0.182064,0.242184,0,-0.577414
4.04,-0.181919,0.24226,0,-0.576951
4.06,-0.181762,0.242325,0,-0.576456
4.08,-0.181596,0.242379,0,-0.575928
4.1,-0.181419,0.242422,0,-0.575366
4.12,-0.181232,0.242454,0,-0.574772
4.14,-0.181034,0.242474,0,-0.574145
4.16,-0.180825,0.242484,0,-0.573484
4.18,-0.180607,0.242482,0,-0.572791
4.2,-0.180378,0.242469,0,-0.572064
4.22,-0.180138,0.242445,0,-0.571305
4.24,-0.179888,0.242409,0,-0.570512
4.26,-0.179628,0.242363,0,-0.569687
4.28,-0.179357,0.242305,0,-0.568829
4.3,-0.179076,0.242236,0,-0.567937
4.32,-0.178785,0.242156,0,-0.567012
4.34,-0.178483,0.242065,0,-0.566055
4.36,-0.178171,0.241962,0,-0.565064
4.38,-0.177848,0.241849,0,-0.564041
4.4,-0.177515,0.241724,0,-0.562984
4.42,-0.177171,0.241588,0,-0.561894
4.44,-0.176817,0.241441,0,-0.560772
4.46,-0.176453,0.241283,0,-0.559616
4.48,-0.176078,0.241113,0,-0.558427
4.5,-0.175693,0.240932,0,-0.557206
4.52,-0.175297,0.240741,0,-0.555951
4.54,-0.174891,0.240538,0,-0.554663
4.56,-0.174474,0.240324,0,-0.553342
4.58,-0.174048,0.240098,0,-0.551989
4.6,-0.17361,0.239862,0,-0.550602
4.62,-0.173163,0.239614,0,-0.549182
4.64,-0.172705,0.239355,0,-0.547729
4.66,-0.172236,0.239085,0,-0.546243
4.68,-0.171757,0.238804,0,-0.544724
4.7,-0.171268,0.238512,0,-0.543172
4.72,-0.170768,0.238208,0,-0.541587
4.74,-0.170258,0.237893,0,-0.539969
4.76,-0.169737,0.237567,0,-0.538318
4.78,-0.169206,0.23723,0,-0.536634
4.8,-0.168665,0.236882,0,-0.534917
4.82,-0.168113,0.236523,0,-0.533167
4.84,-0.167551,0.236152,0,-0.531384
4.86,-0.166978,0.23577,0,-0.529568
4.88,-0.166395,0.235377,0,-0.527719
4.9,-0.165802,0.234973,0,-0.525837
4.92,-0.165198,0.234558,0,-0.523922
4.94,-0.164584,0.234131,0,-0.521974
4.96,-0.163959,0.233694,0,-0.519993
4.98,-0.163324,0.233245,0,-0.517978
5,-0.162678,0.232785,0,-0.515931
5.02,-0.162022,0.232314,0,-0.513851
5.04,-0.161356,0.231832,0,-0.511738
5.06,-0.160679,0.231338,0,-0.509591
5.08,-0.159992,0.230833,0,-0.507412
5.1,-0.159295,0.230317,0,-0.5052
5.12,-0.158587,0.22979,0,-0.502954
5.14,-0.157868,0.229252,0,-0.500676
5.16,-0.157139,0.228703,0,-0.498365
5.18,-0.1564,0.228142,0,-0.49602
5.2,-0.155651,0.227571,0,-0.493643
5.22,-0.154891,0.226988,0,-0.491232
5.24,-0.15412,0.226394,0,-0.488789
5.26,-0.153339,0.225788,0,-0.486313
5.28,-0.152548,0.225172,0,-0.483803
5.3,-0.151746,0.224544,0,-0.481261
5.32,-0.150934,0.223906,0,-0.478685
5.34,-0.150112,0.223256,0,-0.476076
5.36,-0.149279,0.222595,0,-0.473435
5.38,-0.148436,0.221922,0,-0.47076
5.4,-0.147582,0.221239,0,-0.468053
5.42,-0.146718,0.220544,0,-0.465312
5.44,-0.145843,0.219838,0,-0.462538
5.46,-0.144958,0.219121,0,-0.459732
5.48,-0.144063,0.218393,0,-0.456892
5.5,-0.143157,0.217654,0,-0.454019
5.52,-0.142241,0.216903,0,-0.451114
5.54,-0.141314,0.216142,0,-0.448175
5.56,-0.140377,0.215369,0,-0.445203
5.58,-0.13943,0.214585,0,-0.442198
5.6,-0.138472,0.21379,0,-0.439161
5.62,-0.137504,0.212983,0,-0.43609
5.64,-0.136525,0.212166,0,-0.432986
5.66,-0.135536,0.211337,0,-0.429849
5.68,-0.134536,0.210497,0,-0.426679
5.7,-0.133526,0.209646,0,-0.423476
5.72,-0.132506,0.208784,0,-0.42024
5.74,-0.131475,0.207911,0,-0.416971
5.76,-0.130434,0.207026,0,-0.413669
5.78,-0.129383,0.20613,0,-0.410334
5.8,-0.128321,0.205223,0,-0.406966
5.82,-0.127248,0.204305,0,-0.403565
5.84,-0.126166,0.203376,0,-0.400131
5.86,-0.125072,0.202435,0,-0.396664
5.88,-0.123969,0.201484,0,-0.393164
5.9,-0.122855,0.200521,0,-0.389631
5.92,-0.12173,0.199547,0,-0.386065
5.94,-0.120595,0.198562,0,-0.382466
5.96,-0.11945,0.197566,0,-0.378834
5.98,-0.118295,0.196558,0,-0.375169
6,-0.117128,0.195539,0,-0.37147
6.02,-0.115952,0.19451,0,-0.367739
6.04,-0.114765,0.193469,0,-0.363975
6.06,-0.113568,0.192416,0,-0.360178
6.08,-0.11236,0.191353,0,-0.356347
6.1,-0.111142,0.190278,0,-0.352484
6.12,-0.109913,0.189193,0,-0.348588
6.14,-0.108674,0.188096,0,-0.344658
6.16,-0.107425,0.186988,0,-0.340696
6.18,-0.106165,0.185869,0,-0.336701
6.2,-0.104895,0.184738,0,-0.332672
6.22,-0.103614,0.183597,0,-0.328611
6.24,-0.102323,0.182444,0,-0.324517
6.26,-0.101022,0.18128,0,-0.320389
6.28,-0.0997101,0.180105,0,-0.316229
6.3,-0.0983879,0.178919,0,-0.312035
6.32,-0.0970552,0.177721,0,-0.307809
6.34,-0.0957121,0.176512,0,-0.303549
6.36,-0.0943587,0.175293,0,-0.299257
6.38,-0.0929948,0.174062,0,-0.294931
6.4,-0.0916205,0.17282,0,-0.290572
6.42,-0.0902357,0.171566,0,-0.286181
6.44,-0.0888406,0.170302,0,-0.281756
6.46,-0.0874351,0.169026,0,-0.277299
6.48,-0.0860191,0.167739,0,-0.272808
6.5,-0.0845927,0.166441,0,-0.268284
6.52,-0.083156,0.165132,0,-0.263727
6.54,-0.0817088,0.163812,0,-0.259138
6.56,-0.0802512,0.16248,0,-0.254515
6.58,-0.0787832,0.161138,0,-0.249859
