Time,theta1_pos,theta2_pos,d3_pos,theta4_pos
2.32,1.36229,0.255099,-175,-0.661284
2.34,1.35915,0.259006,-175,-0.671228
2.36,1.356,0.262934,-175,-0.681218
2.38,1.35284,0.266882,-175,-0.691255
2.4,1.34966,0.27085,-175,-0.701336
2.42,1.34646,0.274838,-175,-0.711462
2.44,1.34326,0.278845,-175,-0.721632
2.46,1.34004,0.282871,-175,-0.731846
2.48,1.3368,0.286917,-175,-0.742102
2.5,1.33356,0.290981,-175,-0.7524
2.52,1.3303,0.295064,-175,-0.762739
2.54,1.32702,0.299166,-175,-0.773118
2.56,1.32374,0.303285,-175,-0.783538
2.58,1.32044,0.307423,-175,-0.793997
2.6,1.31713,0.311578,-175,-0.804495
2.62,1.31381,0.315751,-175,-0.81503
2.64,1.31048,0.319941,-175,-0.825603
2.66,1.30713,0.324148,-175,-0.836213
2.68,1.30377,0.328372,-175,-0.846859
2.7,1.30041,0.332613,-175,-0.857539
2.72,1.29703,0.336869,-175,-0.868255
2.74,1.29364,0.341143,-175,-0.879005
2.76,1.29024,0.345432,-175,-0.889788
2.78,1.28683,0.349736,-175,-0.900603
2.8,1.28341,0.354057,-175,-0.911451
2.82,1.27998,0.358392,-175,-0.92233
2.84,1.27654,0.362743,-175,-0.93324
2.86,1.27309,0.367108,-175,-0.944179
2.88,1.26963,0.371488,-175,-0.955148
2.9,1.26616,0.375883,-175,-0.966146
2.92,1.26268,0.380291,-175,-0.977172
2.94,1.2592,0.384714,-175,-0.988226
2.96,1.2557,0.38915,-175,-0.999306
2.98,1.2522,0.393599,-175,-1.01041
3,1.24869,0.398062,-175,-1.02154
3.02,1.24518,0.402538,-175,-1.0327
3.04,1.24165,0.407027,-175,-1.04388
3.06,1.23812,0.411528,-175,-1.05508
3.08,1.23458,0.416042,-175,-1.06631
3.1,1.23103,0.420568,-175,-1.07756
3.12,1.22748,0.425106,-175,-1.08883
3.14,1.22392,0.429655,-175,-1.10012
3.16,1.22035,0.434216,-175,-1.11143
3.18,1.21678,0.438788,-175,-1.12276
3.2,1.2132,0.443372,-175,-1.13411
3.22,1.20961,0.447966,-175,-1.14548
3.24,1.20602,0.45257,-175,-1.15687
3.26,1.20243,0.457185,-175,-1.16827
3.28,1.19883,0.46181,-175,-1.17969
