X,Y,Z,Phi
75.6363,311.629,100,-2.98649
76.089,311.264,100,-2.97373
76.5393,310.895,100,-2.96098
76.9873,310.525,100,-2.94824
77.4328,310.152,100,-2.9355
77.8759,309.778,100,-2.92277
78.3165,309.401,100,-2.91005
78.7546,309.021,100,-2.89733
79.1902,308.64,100,-2.88463
79.6231,308.257,100,-2.87193
80.0535,307.872,100,-2.85924
80.4811,307.484,100,-2.84656
80.9061,307.095,100,-2.8339
81.3283,306.704,100,-2.82124
81.7478,306.31,100,-2.8086
82.1644,305.915,100,-2.79597
82.5783,305.518,100,-2.78335
82.9893,305.12,100,-2.77075
83.3973,304.719,100,-2.75817
83.8025,304.317,100,-2.7456
84.2046,303.913,100,-2.73305
84.6038,303.507,100,-2.72051
85,303.1,100,-2.708
85.3931,302.691,100,-2.6955
85.7831,302.281,100,-2.68302
86.1701,301.869,100,-2.67056
86.5538,301.456,100,-2.65812
86.9344,301.041,100,-2.6457
87.3119,300.625,100,-2.63331
87.686,300.207,100,-2.62094
88.057,299.788,100,-2.60859
88.4246,299.368,100,-2.59626
88.7889,298.946,100,-2.58396
89.15,298.524,100,-2.57169
89.5076,298.1,100,-2.55944
89.8619,297.675,100,-2.54722
90.2127,297.249,100,-2.53502
90.5601,296.822,100,-2.52286
90.9041,296.394,100,-2.51072
91.2446,295.965,100,-2.49861
91.5815,295.536,100,-2.48653
91.915,295.105,100,-2.47449
92.2449,294.674,100,-2.46247
92.5712,294.241,100,-2.45049
92.8939,293.808,100,-2.43854
93.213,293.375,100,-2.42662
93.5285,292.941,100,-2.41474
93.8403,292.506,100,-2.40289
94.1484,292.07,100,-2.39107
94.4529,291.635,100,-2.3793
94.7536,291.198,100,-2.36756
95.0506,290.762,100,-2.35586
95.3439,290.325,100,-2.34419
95.6333,289.887,100,-2.33257
95.919,289.45,100,-2.32098
96.2009,289.012,100,-2.30944
96.479,288.574,100,-2.29793
96.7532,288.136,100,-2.28647
97.0236,287.698,100,-2.27505
97.2901,287.26,100,-2.26368
97.5528,286.822,100,-2.25234
97.8115,286.384,100,-2.24105
98.0663,285.946,100,-2.22981
98.3172,285.509,100,-2.21861
98.5642,285.071,100,-2.20746
98.8072,284.634,100,-2.19635
99.0463,284.198,100,-2.1853
99.2813,283.761,100,-2.17429
99.5124,283.325,100,-2.16333
99.7395,282.89,100,-2.15242
99.9626,282.455,100,-2.14156
100.182,282.021,100,-2.13075
100.397,281.587,100,-2.11999
100.608,281.155,100,-2.10929
100.815,280.722,100,-2.09864
101.017,280.291,100,-2.08804
101.216,279.861,100,-2.0775
101.411,279.431,100,-2.06701
101.602,279.002,100,-2.05658
101.788,278.575,100,-2.0462
101.971,278.148,100,-2.03588
102.149,277.723,100,-2.02562
102.323,277.298,100,-2.01542
102.493,276.875,100,-2.00528
102.659,276.454,100,-1.9952
102.821,276.033,100,-1.98517
102.979,275.614,100,-1.97521
103.132,275.196,100,-1.96531
103.281,274.78,100,-1.95548
103.427,274.366,100,-1.9457
103.568,273.953,100,-1.93599
103.705,273.541,100,-1.92635
103.837,273.131,100,-1.91677
103.966,272.723,100,-1.90725
104.09,272.317,100,-1.89781
104.21,271.913,100,-1.88843
104.326,271.51,100,-1.87912
104.438,271.11,100,-1.86987
104.545,270.711,100,-1.8607
104.649,270.315,100,-1.85159
104.748,269.921,100,-1.84256
104.843,269.528,100,-1.8336
104.933,269.138,100,-1.82471
105.02,268.751,100,-1.81589
105.102,268.365,100,-1.80715
105.18,267.982,100,-1.79848
105.254,267.602,100,-1.78988
105.324,267.224,100,-1.78136
105.389,266.848,100,-1.77292
105.45,266.475,100,-1.76455
105.507,266.105,100,-1.75627
105.56,265.737,100,-1.74805
105.608,265.372,100,-1.73992
105.653,265.01,100,-1.73187
105.693,264.651,100,-1.7239
105.728,264.294,100,-1.716
105.76,263.941,100,-1.70819
105.787,263.59,100,-1.70047
105.81,263.243,100,-1.69282
105.829,262.898,100,-1.68526
105.844,262.557,100,-1.67778
105.854,262.219,100,-1.67039
105.86,261.884,100,-1.66308
105.862,261.553,100,-1.65586
105.859,261.224,100,-1.64872
105.853,260.9,100,-1.64168
105.842,260.578,100,-1.63472
105.827,260.26,100,-1.62785
105.807,259.946,100,-1.62107
105.783,259.635,100,-1.61438
105.755,259.328,100,-1.60778
105.723,259.024,100,-1.60127
105.687,258.725,100,-1.59486
105.646,258.429,100,-1.58854
105.601,258.137,100,-1.58231
105.552,257.848,100,-1.57618
105.498,257.564,100,-1.57014
105.44,257.284,100,-1.56419
105.378,257.007,100,-1.55835
105.311,256.735,100,-1.5526
105.241,256.467,100,-1.54695
105.165,256.203,100,-1.54139
105.086,255.943,100,-1.53594
105.002,255.687,100,-1.53058
104.914,255.436,100,-1.52533
104.822,255.189,100,-1.52017
104.725,254.946,100,-1.51512
104.624,254.708,100,-1.51017
104.519,254.474,100,-1.50533
104.409,254.245,100,-1.50059
104.295,254.02,100,-1.49595
104.177,253.8,100,-1.49141
104.054,253.585,100,-1.48699
103.927,253.374,100,-1.48267
103.796,253.168,100,-1.47845
103.66,252.966,100,-1.47435
103.519,252.77,100,-1.47035
103.375,252.578,100,-1.46646
103.226,252.391,100,-1.46269
103.072,252.209,100,-1.45902
102.914,252.033,100,-1.45546
102.751,251.861,100,-1.45202
102.585,251.694,100,-1.44869
102.413,251.532,100,-1.44547
102.237,251.375,100,-1.44236
102.057,251.224,100,-1.43937
101.872,251.077,100,-1.4365
101.682,250.936,100,-1.43374
101.488,250.801,100,-1.4311
101.289,250.67,100,-1.42857
101.086,250.545,100,-1.42617
100.878,250.425,100,-1.42388
100.666,250.311,100,-1.42171
100.448,250.202,100,-1.41966
100.227,250.098,100,-1.41773
100,250,100,-1.41593
100,250,100,-1.41593
99.7684,249.907,100,-1.41418
99.5312,249.817,100,-1.41243
99.2887,249.731,100,-1.41067
99.0408,249.65,100,-1.40891
98.7875,249.571,100,-1.40715
98.5288,249.497,100,-1.40539
98.2649,249.426,100,-1.40362
97.9958,249.359,100,-1.40185
97.7214,249.295,100,-1.40008
97.4418,249.235,100,-1.3983
97.1571,249.179,100,-1.39652
96.8673,249.126,100,-1.39474
96.5723,249.077,100,-1.39295
96.2724,249.031,100,-1.39117
95.9674,248.988,100,-1.38938
95.6574,248.949,100,-1.38759
95.3425,248.913,100,-1.38579
95.0227,248.88,100,-1.384
94.6979,248.851,100,-1.3822
94.3683,248.825,100,-1.3804
94.0339,248.802,100,-1.3786
93.6947,248.782,100,-1.3768
93.3507,248.765,100,-1.375
93.002,248.752,100,-1.37319
92.6486,248.741,100,-1.37139
92.2905,248.734,100,-1.36958
91.9277,248.729,100,-1.36777
91.5604,248.728,100,-1.36597
91.1884,248.729,100,-1.36416
90.8119,248.733,100,-1.36235
90.4308,248.74,100,-1.36054
90.0452,248.75,100,-1.35872
89.6552,248.763,100,-1.35691
89.2607,248.778,100,-1.3551
88.8617,248.796,100,-1.35329
88.4584,248.816,100,-1.35148
88.0507,248.839,100,-1.34966
87.6386,248.865,100,-1.34785
87.2223,248.893,100,-1.34604
86.8016,248.924,100,-1.34423
86.3767,248.957,100,-1.34242
85.9475,248.993,100,-1.34061
85.5141,249.031,100,-1.3388
85.0766,249.071,100,-1.33699
84.6348,249.114,100,-1.33518
84.189,249.158,100,-1.33337
83.739,249.205,100,-1.33157
83.2849,249.255,100,-1.32976
82.8268,249.306,100,-1.32796
82.3646,249.359,100,-1.32616
81.8984,249.415,100,-1.32436
81.4282,249.472,100,-1.32256
80.9541,249.532,100,-1.32076
80.476,249.593,100,-1.31896
79.9941,249.656,100,-1.31717
79.5082,249.721,100,-1.31538
79.0184,249.788,100,-1.31359
78.5249,249.857,100,-1.3118
78.0275,249.928,100,-1.31002
77.5263,250,100,-1.30823
77.0213,250.074,100,-1.30645
76.5126,250.149,100,-1.30468
76.0002,250.226,100,-1.3029
75.4841,250.305,100,-1.30113
74.9644,250.385,100,-1.29936
74.4409,250.466,100,-1.2976
73.9139,250.549,100,-1.29583
73.3833,250.634,100,-1.29407
72.8491,250.72,100,-1.29232
72.3113,250.807,100,-1.29057
71.77,250.895,100,-1.28882
71.2253,250.984,100,-1.28707
70.677,251.075,100,-1.28533
70.1253,251.167,100,-1.28359
69.5702,251.26,100,-1.28186
69.0117,251.354,100,-1.28013
68.4497,251.449,100,-1.2784
67.8845,251.546,100,-1.27668
67.3159,251.643,100,-1.27497
66.744,251.741,100,-1.27325
66.1689,251.84,100,-1.27155
65.5904,251.939,100,-1.26984
65.0088,252.04,100,-1.26815
64.4239,252.141,100,-1.26645
63.8359,252.244,100,-1.26477
63.2447,252.346,100,-1.26308
62.6504,252.45,100,-1.26141
62.053,252.554,100,-1.25973
61.4526,252.659,100,-1.25807
